Leto,T_jun-avg,C13,O18,TRWstd,LWstd
2015,21.050,-22.50864212,27.85136118,0.841234009,0.609908608
2014,19.075,-22.84176712,26.18212698,0.848572565,0.697166101
2013,20.150,-23.02483588,27.28695615,1.076602655,0.952036891
2012,20.850,-22.8128325,28.81575623,1.141659878,1.086119017
2011,20.225,-23.02573877,28.13622296,1.101185874,1.122161164
2010,19.700,-23.05372203,27.36213238,1.001857933,0.939997082
2009,20.275,-22.86132597,28.39773998,1.378182032,1.543627302
2008,19.825,-22.83130938,28.00708035,1.242362725,1.256025218
2007,20.125,-22.85612232,28.02006686,1.106358197,1.177987747
2006,19.325,-22.74841187,27.69955825,0.883894327,0.80718207
2005,18.825,-22.66772138,27.03107447,0.997772929,0.973445738
2004,18.600,-23.01208771,27.59020333,0.994893814,0.905557887
2003,22.150,-23.14357566,27.31972412,0.808832178,0.621922993
2002,19.925,-22.88974221,27.53280319,1.204786449,1.242201941
2001,20.075,-23.37062611,29.41229818,1.268401307,1.298270496
2000,19.975,-22.96116437,28.2363857,1.146894848,1.121659647
1999,19.275,-23.22643511,27.13269694,1.121200312,1.106061465
1998,19.900,-23.43641687,27.79727795,0.917276804,0.933833304
1997,18.875,-23.68112656,27.74423257,0.890604269,0.916757054
1996,18.550,-23.66558338,27.22493069,0.795897546,0.768900942
1995,18.500,-23.46983742,26.7725423,0.84848489,0.731349298
1994,19.775,-23.33384904,28.49563375,1.215055742,1.245397532
1993,19.375,-23.6826704,28.81821542,0.869645649,0.785065608
1992,19.875,-23.56133338,27.94248066,0.886812152,0.781009965
1991,18.175,-23.61471998,27.39134886,1.18578159,1.236433689
1990,18.525,-23.51736487,29.4296116,0.94564727,0.955735916
1989,17.800,-23.36951647,27.22041264,1.004873476,0.944522961
1988,18.875,-23.47113701,28.83730191,0.935987577,0.836150708
1987,17.800,-23.54224825,27.45229714,1.110671555,1.044079683
1986,18.675,-23.55288468,27.59112311,1.230316938,1.174527761
1985,18.275,-23.54812588,28.14974505,1.168590879,1.240348063
1984,16.825,-23.53302898,27.47382873,0.961038328,0.909215424
1983,18.950,-24.13800683,27.61211197,0.817880217,0.776531752
1982,18.725,-23.83273482,27.00574015,0.943653676,0.87029993
1981,17.725,-23.96718332,26.70707214,0.785117551,0.726784902
1980,16.775,-24.06132398,26.77101351,0.96675499,0.892287243
1979,17.875,-24.08519095,27.63011504,1.012082877,0.990135412
1978,16.150,-24.12377221,27.95864505,0.843506773,0.762142915
1977,17.450,-24.14207498,27.21632203,0.892987277,0.823471347
1976,17.550,-24.13010748,27.95413043,0.845953408,0.741054547
1975,17.700,-23.8328786,27.55725257,1.073728221,1.125603249
1974,17.650,-23.79540899,27.87658927,0.869966482,0.847991388
1973,18.325,-24.37268598,27.55875165,1.044890008,1.069631777
1972,17.625,-24.10974158,27.2550756,1.037894979,1.042322858
1971,18.625,-24.30158367,27.56210621,1.031129438,1.04955065
1970,17.750,-24.2282047,26.62328354,1.024085584,1.003776595
1969,18.050,-24.33463114,27.04048614,1.059998136,1.017073361
1968,17.550,-24.1208586,27.17516478,1.070531356,0.968508314
1967,18.550,-24.23690492,27.77680693,1.08381352,1.008030751
1966,17.650,-24.23278474,27.39756215,1.167464339,1.166814837
1965,17.075,-24.38349843,27.24774807,1.154264334,1.143229104
1964,18.450,-24.43906422,27.6176864,1.234683259,1.223151735
1963,18.125,-24.50448755,27.80612673,1.00368888,0.962602865
1962,17.075,-24.81477819,27.88172723,0.992369567,0.924805053
1961,17.500,-24.26994581,27.35980283,0.99308266,0.917088742
1960,17.525,-24.175,25.85456192,0.995035692,0.946698244
